delay,50
params,1.0000,0.5717,0.8334,-0.1000
pos,162,-0.0691,-1.6580,0.4978,-1.6891
pos,163,-0.0547,-1.6582,0.4938,-1.6891
pos,164,-0.0402,-1.6585,0.4898,-1.6890
pos,165,-0.0254,-1.6587,0.4858,-1.6890
pos,166,-0.0105,-1.6590,0.4818,-1.6889
pos,167,0.0045,-1.6592,0.4778,-1.6889
pos,168,0.0196,-1.6594,0.4738,-1.6888
pos,169,0.0348,-1.6596,0.4697,-1.6888
pos,170,0.0502,-1.6598,0.4656,-1.6887
pos,171,0.0656,-1.6600,0.4615,-1.6886
pos,172,0.0812,-1.6601,0.4574,-1.6886
pos,173,0.0968,-1.6603,0.4533,-1.6885
pos,174,0.1126,-1.6605,0.4491,-1.6884
pos,175,0.1285,-1.6606,0.4450,-1.6884
pos,176,0.1445,-1.6607,0.4408,-1.6883
pos,177,0.1606,-1.6609,0.4366,-1.6882
pos,178,0.1769,-1.6610,0.4324,-1.6882
pos,179,0.1933,-1.6611,0.4282,-1.6881
pos,180,0.2099,-1.6612,0.4241,-1.6881
pos,181,0.2267,-1.6613,0.4199,-1.6880
pos,182,0.2436,-1.6614,0.4158,-1.6879
pos,183,0.2607,-1.6614,0.4117,-1.6879
pos,184,0.2778,-1.6615,0.4077,-1.6878
pos,185,0.2951,-1.6615,0.4036,-1.6877
pos,186,0.3124,-1.6616,0.3995,-1.6877
pos,187,0.3298,-1.6616,0.3954,-1.6876
pos,188,0.3473,-1.6616,0.3913,-1.6876
pos,189,0.3649,-1.6616,0.3872,-1.6875
pos,190,0.3826,-1.6616,0.3831,-1.6875
pos,191,0.4004,-1.6616,0.3790,-1.6874
pos,192,0.4182,-1.6616,0.3749,-1.6874
pos,193,0.4361,-1.6615,0.3708,-1.6873
pos,194,0.4541,-1.6615,0.3667,-1.6873
pos,195,0.4722,-1.6614,0.3626,-1.6873
pos,196,0.4903,-1.6613,0.3586,-1.6873
pos,197,0.5087,-1.6612,0.3546,-1.6872
pos,198,0.5271,-1.6611,0.3506,-1.6872
pos,199,0.5456,-1.6610,0.3466,-1.6872
pos,200,0.5643,-1.6609,0.3427,-1.6872
pos,201,0.5831,-1.6608,0.3388,-1.6872
pos,202,0.6020,-1.6606,0.3350,-1.6872
pos,203,0.6209,-1.6604,0.3312,-1.6873
pos,204,0.6399,-1.6603,0.3274,-1.6873
pos,205,0.6590,-1.6601,0.3236,-1.6873
pos,206,0.6781,-1.6599,0.3198,-1.6873
pos,207,0.6972,-1.6596,0.3161,-1.6874
pos,208,0.7165,-1.6594,0.3124,-1.6874
pos,209,0.7357,-1.6591,0.3088,-1.6874
pos,210,0.7550,-1.6589,0.3052,-1.6875
pos,211,0.7744,-1.6586,0.3016,-1.6875
pos,212,0.7938,-1.6583,0.2981,-1.6876
pos,213,0.8133,-1.6580,0.2946,-1.6876
pos,214,0.8328,-1.6576,0.2911,-1.6877
pos,215,0.8524,-1.6573,0.2877,-1.6877
pos,216,0.8721,-1.6569,0.2843,-1.6878
pos,217,0.8919,-1.6565,0.2810,-1.6878
pos,218,0.9117,-1.6561,0.2778,-1.6879
pos,219,0.9317,-1.6557,0.2746,-1.6880
pos,220,0.9517,-1.6553,0.2715,-1.6880
pos,221,0.9719,-1.6548,0.2685,-1.6881
pos,222,0.9921,-1.6543,0.2656,-1.6882
pos,223,1.0124,-1.6538,0.2628,-1.6882
pos,224,1.0327,-1.6533,0.2600,-1.6883
pos,225,1.0530,-1.6528,0.2573,-1.6884
pos,226,1.0734,-1.6523,0.2546,-1.6885
pos,227,1.0938,-1.6517,0.2520,-1.6886
pos,228,1.1143,-1.6511,0.2495,-1.6886
pos,229,1.1348,-1.6505,0.2471,-1.6887
pos,230,1.1554,-1.6498,0.2448,-1.6888
pos,231,1.1760,-1.6492,0.2426,-1.6889
pos,232,1.1968,-1.6485,0.2404,-1.6890
pos,233,1.2176,-1.6478,0.2384,-1.6891
pos,234,1.2385,-1.6471,0.2365,-1.6892
pos,235,1.2595,-1.6463,0.2347,-1.6893
pos,236,1.2805,-1.6456,0.2330,-1.6894
pos,237,1.3017,-1.6448,0.2314,-1.6895
pos,238,1.3230,-1.6440,0.2300,-1.6896
pos,239,1.3443,-1.6432,0.2288,-1.6897
pos,240,1.3657,-1.6423,0.2276,-1.6898
pos,241,1.3871,-1.6414,0.2266,-1.6899
