delay,25
params,0.7160,0.6421,0.9094,0.0015
pos,163,-1.7149,-2.2179,1.8651,-3.1459
pos,164,-1.7147,-2.2179,1.8697,-3.1459
pos,165,-1.7146,-2.2180,1.8751,-3.1460
pos,166,-1.7144,-2.2181,1.8815,-3.1461
pos,167,-1.7141,-2.2182,1.8892,-3.1461
pos,168,-1.7139,-2.2183,1.8985,-3.1462
pos,169,-1.7135,-2.2185,1.9098,-3.1462
pos,170,-1.7131,-2.2187,1.9235,-3.1463
pos,171,-1.7126,-2.2190,1.9401,-3.1464
pos,172,-1.7120,-2.2193,1.9605,-3.1464
pos,173,-1.7102,-2.2201,2.0119,-3.1466
pos,174,-1.7096,-2.2204,2.0322,-3.1467
pos,175,-1.7090,-2.2207,2.0490,-3.1468
pos,176,-1.7085,-2.2210,2.0632,-3.1468
pos,177,-1.7080,-2.2213,2.0754,-3.1469
pos,178,-1.7076,-2.2215,2.0859,-3.1470
pos,179,-1.7071,-2.2218,2.0952,-3.1471
pos,180,-1.7066,-2.2221,2.1037,-3.1472
pos,181,-1.7061,-2.2225,2.1116,-3.1473
pos,182,-1.7056,-2.2229,2.1192,-3.1474
pos,183,-1.7050,-2.2233,2.1268,-3.1475
pos,184,-1.7043,-2.2238,2.1347,-3.1476
pos,185,-1.7037,-2.2244,2.1418,-3.1477
pos,186,-1.7031,-2.2249,2.1484,-3.1478
pos,187,-1.7024,-2.2255,2.1548,-3.1479
pos,188,-1.7018,-2.2261,2.1612,-3.1480
pos,189,-1.7010,-2.2269,2.1679,-3.1481
pos,190,-1.7002,-2.2277,2.1752,-3.1482
pos,191,-1.6994,-2.2287,2.1821,-3.1483
pos,192,-1.6987,-2.2295,2.1882,-3.1484
pos,193,-1.6981,-2.2303,2.1937,-3.1485
pos,194,-1.6975,-2.2310,2.1987,-3.1486
pos,195,-1.6968,-2.2318,2.2035,-3.1487
pos,196,-1.6962,-2.2326,2.2082,-3.1488
pos,197,-1.6957,-2.2333,2.2123,-3.1489
pos,198,-1.6952,-2.2340,2.2160,-3.1491
pos,199,-1.6948,-2.2347,2.2194,-3.1492
pos,200,-1.6944,-2.2354,2.2225,-3.1493
pos,201,-1.6941,-2.2360,2.2252,-3.1493
pos,202,-1.6938,-2.2367,2.2279,-3.1494
pos,203,-1.6935,-2.2373,2.2304,-3.1495
pos,204,-1.6933,-2.2381,2.2329,-3.1496
pos,205,-1.6930,-2.2388,2.2354,-3.1497
pos,206,-1.6928,-2.2395,2.2376,-3.1497
pos,207,-1.6925,-2.2402,2.2397,-3.1498
pos,208,-1.6923,-2.2408,2.2416,-3.1499
pos,209,-1.6920,-2.2414,2.2434,-3.1500
pos,210,-1.6918,-2.2420,2.2451,-3.1501
pos,211,-1.6916,-2.2426,2.2466,-3.1502
pos,212,-1.6914,-2.2432,2.2481,-3.1503
pos,213,-1.6912,-2.2438,2.2495,-3.1504
pos,214,-1.6910,-2.2443,2.2507,-3.1505
pos,215,-1.6908,-2.2448,2.2518,-3.1506
pos,216,-1.6907,-2.2452,2.2528,-3.1507
pos,217,-1.6905,-2.2457,2.2538,-3.1507
pos,218,-1.6903,-2.2461,2.2547,-3.1508
pos,219,-1.6901,-2.2465,2.2555,-3.1510
pos,220,-1.6900,-2.2468,2.2561,-3.1510
pos,221,-1.6898,-2.2470,2.2567,-3.1511
pos,222,-1.6897,-2.2473,2.2572,-3.1512
pos,223,-1.6896,-2.2474,2.2577,-3.1513
pos,224,-1.6896,-2.2476,2.2581,-3.1514
pos,225,-1.6895,-2.2477,2.2584,-3.1515
pos,226,-1.6894,-2.2479,2.2588,-3.1515
pos,227,-1.6894,-2.2480,2.2592,-3.1516
pos,228,-1.6893,-2.2481,2.2595,-3.1516
pos,229,-1.6893,-2.2482,2.2597,-3.1517
pos,230,-1.6892,-2.2483,2.2597,-3.1517
pos,231,-1.6892,-2.2484,2.2594,-3.1518
pos,232,-1.6891,-2.2486,2.2590,-3.1518
pos,233,-1.6890,-2.2487,2.2583,-3.1519
pos,234,-1.6890,-2.2489,2.2574,-3.1519
pos,235,-1.6889,-2.2491,2.2562,-3.1519
pos,236,-1.6888,-2.2494,2.2547,-3.1519
pos,237,-1.6886,-2.2497,2.2529,-3.1520
pos,238,-1.6885,-2.2500,2.2505,-3.1520
pos,239,-1.6883,-2.2505,2.2477,-3.1520
pos,240,-1.6881,-2.2510,2.2442,-3.1520
pos,241,-1.6879,-2.2514,2.2408,-3.1520
pos,242,-1.6877,-2.2518,2.2372,-3.1520
pos,243,-1.6876,-2.2521,2.2336,-3.1519
pos,244,-1.6876,-2.2523,2.2299,-3.1519
pos,245,-1.6874,-2.2525,2.2261,-3.1519
pos,246,-1.6874,-2.2526,2.2223,-3.1519
pos,247,-1.6873,-2.2527,2.2183,-3.1519
pos,248,-1.6873,-2.2527,2.2138,-3.1519
pos,249,-1.6872,-2.2527,2.2089,-3.1518
pos,250,-1.6872,-2.2527,2.2037,-3.1518
pos,251,-1.6872,-2.2526,2.1985,-3.1518
pos,252,-1.6872,-2.2525,2.1931,-3.1517
pos,253,-1.6872,-2.2524,2.1876,-3.1516
pos,254,-1.6873,-2.2523,2.1820,-3.1516
pos,255,-1.6873,-2.2521,2.1762,-3.1515
pos,256,-1.6874,-2.2519,2.1703,-3.1514
pos,257,-1.6874,-2.2518,2.1641,-3.1514
pos,258,-1.6875,-2.2516,2.1577,-3.1513
pos,259,-1.6877,-2.2514,2.1512,-3.1512
pos,260,-1.6878,-2.2512,2.1443,-3.1512
pos,261,-1.6879,-2.2510,2.1370,-3.1511
pos,262,-1.6881,-2.2507,2.1293,-3.1510
pos,263,-1.6883,-2.2505,2.1212,-3.1510
pos,264,-1.6885,-2.2503,2.1130,-3.1509
pos,265,-1.6887,-2.2500,2.1046,-3.1508
pos,266,-1.6890,-2.2498,2.0960,-3.1507
pos,267,-1.6892,-2.2496,2.0872,-3.1507
pos,268,-1.6895,-2.2493,2.0784,-3.1506
pos,269,-1.6897,-2.2491,2.0695,-3.1505
pos,270,-1.6900,-2.2489,2.0602,-3.1505
pos,271,-1.6903,-2.2487,2.0502,-3.1504
pos,272,-1.6907,-2.2485,2.0393,-3.1503
pos,273,-1.6911,-2.2483,2.0269,-3.1503
pos,274,-1.6915,-2.2480,2.0149,-3.1502
pos,275,-1.6919,-2.2478,2.0030,-3.1502
pos,276,-1.6923,-2.2476,1.9914,-3.1501
pos,277,-1.6927,-2.2474,1.9803,-3.1501
pos,278,-1.6931,-2.2473,1.9694,-3.1500
pos,279,-1.6935,-2.2471,1.9593,-3.1500
pos,280,-1.6939,-2.2469,1.9496,-3.1499
pos,281,-1.6942,-2.2468,1.9406,-3.1499
pos,282,-1.6945,-2.2467,1.9324,-3.1498
pos,283,-1.6948,-2.2465,1.9248,-3.1498
pos,284,-1.6952,-2.2464,1.9173,-3.1497
pos,285,-1.6955,-2.2462,1.9097,-3.1497
pos,286,-1.6958,-2.2461,1.9017,-3.1496
pos,287,-1.6962,-2.2459,1.8929,-3.1496
pos,288,-1.6966,-2.2457,1.8833,-3.1495
pos,289,-1.6971,-2.2454,1.8726,-3.1495
pos,290,-1.6977,-2.2451,1.8602,-3.1494
pos,291,-1.6984,-2.2448,1.8456,-3.1493
pos,292,-1.6992,-2.2444,1.8283,-3.1493
pos,293,-1.7002,-2.2438,1.8076,-3.1492
pos,294,-1.7011,-2.2433,1.7888,-3.1492
pos,295,-1.7020,-2.2428,1.7717,-3.1491
pos,296,-1.7028,-2.2423,1.7558,-3.1491
pos,297,-1.7036,-2.2418,1.7408,-3.1490
pos,298,-1.7043,-2.2413,1.7269,-3.1490
pos,299,-1.7050,-2.2408,1.7140,-3.1489
pos,300,-1.7056,-2.2402,1.7018,-3.1489
pos,301,-1.7062,-2.2397,1.6904,-3.1488
pos,302,-1.7068,-2.2392,1.6797,-3.1488
pos,303,-1.7073,-2.2387,1.6694,-3.1488
pos,304,-1.7078,-2.2382,1.6596,-3.1488
pos,305,-1.7083,-2.2376,1.6502,-3.1487
pos,306,-1.7088,-2.2371,1.6410,-3.1487
pos,307,-1.7093,-2.2365,1.6318,-3.1487
pos,308,-1.7098,-2.2360,1.6231,-3.1487
pos,309,-1.7102,-2.2354,1.6149,-3.1487
pos,310,-1.7106,-2.2349,1.6071,-3.1487
pos,311,-1.7110,-2.2343,1.5997,-3.1487
pos,312,-1.7114,-2.2338,1.5927,-3.1487
pos,313,-1.7117,-2.2332,1.5859,-3.1487
pos,314,-1.7121,-2.2327,1.5794,-3.1487
pos,315,-1.7124,-2.2321,1.5732,-3.1487
pos,316,-1.7127,-2.2315,1.5671,-3.1487
pos,317,-1.7130,-2.2309,1.5611,-3.1487
pos,318,-1.7133,-2.2303,1.5552,-3.1487
pos,319,-1.7135,-2.2296,1.5491,-3.1487
pos,320,-1.7138,-2.2289,1.5434,-3.1487
pos,321,-1.7140,-2.2283,1.5380,-3.1488
pos,322,-1.7142,-2.2276,1.5329,-3.1488
pos,323,-1.7144,-2.2270,1.5281,-3.1488
pos,324,-1.7145,-2.2264,1.5236,-3.1488
pos,325,-1.7146,-2.2258,1.5193,-3.1489
pos,326,-1.7147,-2.2252,1.5152,-3.1489
pos,327,-1.7148,-2.2246,1.5114,-3.1489
pos,328,-1.7149,-2.2240,1.5079,-3.1489
pos,329,-1.7150,-2.2234,1.5045,-3.1489
pos,330,-1.7150,-2.2229,1.5014,-3.1490
pos,331,-1.7150,-2.2224,1.4985,-3.1490
pos,332,-1.7150,-2.2219,1.4958,-3.1490
pos,333,-1.7150,-2.2214,1.4934,-3.1491
pos,334,-1.7150,-2.2210,1.4910,-3.1491
pos,335,-1.7150,-2.2206,1.4889,-3.1491
pos,336,-1.7150,-2.2202,1.4870,-3.1492
pos,337,-1.7150,-2.2198,1.4854,-3.1492
pos,338,-1.7149,-2.2194,1.4839,-3.1492
pos,339,-1.7149,-2.2191,1.4825,-3.1493
pos,340,-1.7149,-2.2187,1.4812,-3.1493
pos,341,-1.7150,-2.2184,1.4801,-3.1494
pos,342,-1.7150,-2.2181,1.4791,-3.1494
pos,343,-1.7149,-2.2179,1.4783,-3.1494
pos,344,-1.7149,-2.2177,1.4777,-3.1495
pos,345,-1.7149,-2.2176,1.4771,-3.1495
pos,346,-1.7149,-2.2174,1.4767,-3.1496
pos,347,-1.7149,-2.2173,1.4764,-3.1496
pos,348,-1.7149,-2.2172,1.4762,-3.1496
pos,349,-1.7149,-2.2171,1.4760,-3.1497
pos,350,-1.7149,-2.2171,1.4759,-3.1497
pos,351,-1.7150,-2.2170,1.4758,-3.1497
pos,352,-1.7150,-2.2169,1.4757,-3.1498
pos,353,-1.7150,-2.2169,1.4758,-3.1498
pos,354,-1.7150,-2.2168,1.4758,-3.1498
pos,355,-1.7150,-2.2167,1.4759,-3.1498
pos,356,-1.7150,-2.2167,1.4761,-3.1499
pos,357,-1.7151,-2.2166,1.4763,-3.1499
pos,358,-1.7151,-2.2165,1.4765,-3.1499
pos,359,-1.7151,-2.2164,1.4769,-3.1499
pos,360,-1.7152,-2.2163,1.4773,-3.1500
pos,361,-1.7153,-2.2161,1.4778,-3.1500
pos,362,-1.7153,-2.2159,1.4784,-3.1500
pos,363,-1.7154,-2.2157,1.4792,-3.1500
pos,364,-1.7156,-2.2154,1.4801,-3.1500
pos,365,-1.7157,-2.2151,1.4813,-3.1501
pos,366,-1.7159,-2.2147,1.4827,-3.1501
pos,367,-1.7161,-2.2142,1.4844,-3.1501
pos,368,-1.7164,-2.2136,1.4865,-3.1501
pos,369,-1.7167,-2.2129,1.4891,-3.1501
pos,370,-1.7171,-2.2120,1.4922,-3.1501
pos,371,-1.7176,-2.2109,1.4960,-3.1501
pos,372,-1.7182,-2.2096,1.5007,-3.1502
pos,373,-1.7188,-2.2080,1.5062,-3.1502
pos,374,-1.7194,-2.2062,1.5128,-3.1502
pos,375,-1.7198,-2.2041,1.5207,-3.1502
pos,376,-1.7200,-2.2018,1.5284,-3.1502
pos,377,-1.7202,-2.1994,1.5355,-3.1502
pos,378,-1.7204,-2.1969,1.5420,-3.1502
pos,379,-1.7204,-2.1942,1.5482,-3.1502
pos,380,-1.7205,-2.1914,1.5540,-3.1503
pos,381,-1.7205,-2.1884,1.5596,-3.1503
pos,382,-1.7204,-2.1853,1.5649,-3.1503
pos,383,-1.7204,-2.1820,1.5700,-3.1504
pos,384,-1.7203,-2.1785,1.5749,-3.1504
pos,385,-1.7202,-2.1748,1.5796,-3.1504
pos,386,-1.7201,-2.1709,1.5843,-3.1504
pos,387,-1.7200,-2.1668,1.5887,-3.1505
pos,388,-1.7199,-2.1625,1.5930,-3.1505
pos,389,-1.7199,-2.1582,1.5971,-3.1505
pos,390,-1.7198,-2.1536,1.6011,-3.1506
pos,391,-1.7198,-2.1490,1.6048,-3.1506
pos,392,-1.7197,-2.1442,1.6085,-3.1506
pos,393,-1.7197,-2.1390,1.6122,-3.1506
pos,394,-1.7197,-2.1331,1.6162,-3.1507
pos,395,-1.7197,-2.1264,1.6206,-3.1507
pos,396,-1.7198,-2.1192,1.6251,-3.1508
pos,397,-1.7198,-2.1121,1.6292,-3.1508
pos,398,-1.7198,-2.1050,1.6332,-3.1508
pos,399,-1.7198,-2.0978,1.6370,-3.1509
pos,400,-1.7199,-2.0907,1.6406,-3.1509
pos,401,-1.7199,-2.0833,1.6441,-3.1510
pos,402,-1.7200,-2.0753,1.6476,-3.1510
pos,403,-1.7200,-2.0665,1.6514,-3.1511
pos,404,-1.7201,-2.0584,1.6546,-3.1512
pos,405,-1.7202,-2.0509,1.6574,-3.1512
pos,406,-1.7202,-2.0438,1.6599,-3.1513
pos,407,-1.7203,-2.0367,1.6621,-3.1513
pos,408,-1.7204,-2.0294,1.6642,-3.1513
pos,409,-1.7205,-2.0216,1.6662,-3.1514
pos,410,-1.7207,-2.0130,1.6683,-3.1514
pos,411,-1.7208,-2.0031,1.6704,-3.1515
pos,412,-1.7211,-1.9918,1.6728,-3.1515
pos,413,-1.7213,-1.9784,1.6754,-3.1516
pos,414,-1.7217,-1.9624,1.6784,-3.1516
pos,415,-1.7221,-1.9432,1.6820,-3.1517
pos,416,-1.7227,-1.9200,1.6862,-3.1517
pos,417,-1.7233,-1.8974,1.6899,-3.1518
pos,418,-1.7239,-1.8760,1.6932,-3.1518
