delay,50
params,1.0000,0.5717,0.8334,-0.1000
pos,164,-1.7081,-2.2235,1.9238,-3.1454
pos,165,-1.7079,-2.2237,1.9320,-3.1455
pos,166,-1.7077,-2.2239,1.9401,-3.1456
pos,167,-1.7075,-2.2240,1.9482,-3.1456
pos,168,-1.7073,-2.2242,1.9562,-3.1457
pos,169,-1.7071,-2.2244,1.9641,-3.1458
pos,170,-1.7069,-2.2246,1.9720,-3.1459
pos,171,-1.7067,-2.2248,1.9799,-3.1459
pos,172,-1.7065,-2.2251,1.9877,-3.1460
pos,173,-1.7062,-2.2253,1.9955,-3.1461
pos,174,-1.7060,-2.2255,2.0031,-3.1462
pos,175,-1.7058,-2.2257,2.0105,-3.1463
pos,176,-1.7055,-2.2260,2.0177,-3.1464
pos,177,-1.7053,-2.2262,2.0247,-3.1465
pos,178,-1.7051,-2.2264,2.0315,-3.1466
pos,179,-1.7048,-2.2267,2.0381,-3.1467
pos,180,-1.7046,-2.2269,2.0445,-3.1469
pos,181,-1.7044,-2.2272,2.0508,-3.1470
pos,182,-1.7041,-2.2274,2.0569,-3.1471
pos,183,-1.7039,-2.2277,2.0628,-3.1473
pos,184,-1.7036,-2.2279,2.0686,-3.1474
pos,185,-1.7034,-2.2282,2.0743,-3.1476
pos,186,-1.7031,-2.2285,2.0797,-3.1477
pos,187,-1.7029,-2.2288,2.0851,-3.1479
pos,188,-1.7026,-2.2290,2.0902,-3.1480
pos,189,-1.7023,-2.2293,2.0952,-3.1482
pos,190,-1.7021,-2.2296,2.1001,-3.1483
pos,191,-1.7018,-2.2299,2.1048,-3.1484
pos,192,-1.7016,-2.2302,2.1094,-3.1486
pos,193,-1.7014,-2.2305,2.1138,-3.1487
pos,194,-1.7011,-2.2308,2.1180,-3.1489
pos,195,-1.7009,-2.2311,2.1221,-3.1490
pos,196,-1.7006,-2.2314,2.1260,-3.1492
pos,197,-1.7004,-2.2316,2.1298,-3.1494
pos,198,-1.7002,-2.2319,2.1334,-3.1496
pos,199,-1.7000,-2.2322,2.1369,-3.1497
pos,200,-1.6998,-2.2325,2.1403,-3.1499
pos,201,-1.6996,-2.2328,2.1434,-3.1500
pos,202,-1.6993,-2.2330,2.1465,-3.1501
pos,203,-1.6992,-2.2333,2.1494,-3.1502
pos,204,-1.6990,-2.2336,2.1522,-3.1503
pos,205,-1.6988,-2.2339,2.1548,-3.1504
pos,206,-1.6986,-2.2341,2.1573,-3.1505
pos,207,-1.6984,-2.2344,2.1597,-3.1506
pos,208,-1.6982,-2.2346,2.1619,-3.1508
pos,209,-1.6981,-2.2349,2.1641,-3.1509
pos,210,-1.6979,-2.2351,2.1660,-3.1510
pos,211,-1.6977,-2.2354,2.1679,-3.1512
pos,212,-1.6976,-2.2356,2.1696,-3.1513
pos,213,-1.6974,-2.2358,2.1713,-3.1514
pos,214,-1.6973,-2.2360,2.1728,-3.1516
pos,215,-1.6972,-2.2362,2.1741,-3.1517
pos,216,-1.6970,-2.2364,2.1754,-3.1519
pos,217,-1.6969,-2.2366,2.1765,-3.1520
pos,218,-1.6968,-2.2368,2.1776,-3.1522
pos,219,-1.6967,-2.2370,2.1785,-3.1523
pos,220,-1.6965,-2.2372,2.1793,-3.1525
pos,221,-1.6964,-2.2373,2.1799,-3.1526
pos,222,-1.6963,-2.2375,2.1805,-3.1528
pos,223,-1.6962,-2.2376,2.1810,-3.1529
pos,224,-1.6961,-2.2377,2.1813,-3.1530
pos,225,-1.6961,-2.2379,2.1816,-3.1531
pos,226,-1.6960,-2.2380,2.1817,-3.1532
pos,227,-1.6959,-2.2381,2.1817,-3.1533
pos,228,-1.6958,-2.2382,2.1817,-3.1534
pos,229,-1.6958,-2.2383,2.1815,-3.1535
pos,230,-1.6957,-2.2384,2.1812,-3.1535
pos,231,-1.6957,-2.2385,2.1809,-3.1536
pos,232,-1.6956,-2.2385,2.1804,-3.1537
pos,233,-1.6956,-2.2386,2.1798,-3.1537
pos,234,-1.6955,-2.2386,2.1791,-3.1537
pos,235,-1.6955,-2.2387,2.1783,-3.1538
pos,236,-1.6955,-2.2387,2.1774,-3.1538
pos,237,-1.6955,-2.2388,2.1765,-3.1538
pos,238,-1.6954,-2.2388,2.1754,-3.1538
pos,239,-1.6954,-2.2388,2.1742,-3.1538
pos,240,-1.6954,-2.2388,2.1729,-3.1538
pos,241,-1.6954,-2.2388,2.1715,-3.1538
pos,242,-1.6954,-2.2388,2.1701,-3.1537
pos,243,-1.6955,-2.2388,2.1685,-3.1537
pos,244,-1.6955,-2.2387,2.1669,-3.1537
pos,245,-1.6955,-2.2387,2.1652,-3.1536
pos,246,-1.6955,-2.2386,2.1634,-3.1536
pos,247,-1.6956,-2.2385,2.1616,-3.1536
pos,248,-1.6956,-2.2385,2.1597,-3.1535
pos,249,-1.6957,-2.2384,2.1576,-3.1535
pos,250,-1.6957,-2.2382,2.1556,-3.1534
pos,251,-1.6958,-2.2381,2.1534,-3.1533
pos,252,-1.6959,-2.2380,2.1512,-3.1532
pos,253,-1.6960,-2.2378,2.1490,-3.1531
pos,254,-1.6961,-2.2377,2.1464,-3.1530
pos,255,-1.6962,-2.2375,2.1436,-3.1528
pos,256,-1.6963,-2.2373,2.1405,-3.1527
pos,257,-1.6964,-2.2371,2.1371,-3.1526
pos,258,-1.6965,-2.2369,2.1335,-3.1524
pos,259,-1.6966,-2.2367,2.1296,-3.1523
pos,260,-1.6968,-2.2365,2.1255,-3.1522
pos,261,-1.6969,-2.2362,2.1212,-3.1521
pos,262,-1.6971,-2.2360,2.1166,-3.1519
pos,263,-1.6972,-2.2357,2.1118,-3.1518
pos,264,-1.6974,-2.2354,2.1067,-3.1517
pos,265,-1.6976,-2.2351,2.1015,-3.1515
pos,266,-1.6977,-2.2348,2.0960,-3.1514
pos,267,-1.6979,-2.2345,2.0904,-3.1512
pos,268,-1.6981,-2.2342,2.0846,-3.1511
pos,269,-1.6983,-2.2338,2.0786,-3.1510
pos,270,-1.6986,-2.2335,2.0724,-3.1509
pos,271,-1.6988,-2.2331,2.0660,-3.1508
pos,272,-1.6990,-2.2327,2.0594,-3.1507
pos,273,-1.6992,-2.2323,2.0527,-3.1506
pos,274,-1.6995,-2.2319,2.0458,-3.1505
pos,275,-1.6997,-2.2315,2.0388,-3.1504
pos,276,-1.7000,-2.2311,2.0317,-3.1503
pos,277,-1.7002,-2.2306,2.0244,-3.1502
pos,278,-1.7005,-2.2301,2.0170,-3.1501
pos,279,-1.7008,-2.2297,2.0096,-3.1501
pos,280,-1.7011,-2.2292,2.0020,-3.1500
pos,281,-1.7013,-2.2287,1.9944,-3.1499
pos,282,-1.7016,-2.2282,1.9866,-3.1498
pos,283,-1.7019,-2.2276,1.9788,-3.1497
pos,284,-1.7022,-2.2271,1.9709,-3.1496
pos,285,-1.7025,-2.2265,1.9629,-3.1495
pos,286,-1.7028,-2.2260,1.9548,-3.1494
pos,287,-1.7032,-2.2254,1.9466,-3.1494
